rules,support,confidence,lift,itemset,
1,{GI_13376477.S} => {GI_11056009.S},0.090425532,0.944444444,9.864197531,1
2,{GI_11056009.S} => {GI_13376477.S},0.090425532,0.944444444,9.864197531,1
3,{GI_14589955.S} => {GI_12025664.S},0.085106383,0.888888889,9.283950617,2
4,{GI_12025664.S} => {GI_14589955.S},0.085106383,0.888888889,9.283950617,2
5,{GI_12232456.S} => {GI_12232430.S},0.085106383,0.888888889,9.283950617,3
6,{GI_12232430.S} => {GI_12232456.S},0.085106383,0.888888889,9.283950617,3
7,{GI_13376659.S} => {GI_11641260.S},0.085106383,0.888888889,9.283950617,4
8,{GI_11641260.S} => {GI_13376659.S},0.085106383,0.888888889,9.283950617,4
9,{GI_13540514.S} => {GI_13376847.S},0.079787234,0.833333333,8.703703704,5
10,{GI_13376847.S} => {GI_13540514.S},0.079787234,0.833333333,8.703703704,5
11,{GI_14456711.S} => {GI_14043068.S},0.079787234,0.833333333,8.703703704,6
12,{GI_14043068.S} => {GI_14456711.S},0.079787234,0.833333333,8.703703704,6
13,{GI_14042952.S} => {GI_12232456.S},0.079787234,0.833333333,8.703703704,7
14,{GI_12232456.S} => {GI_14042952.S},0.079787234,0.833333333,8.703703704,7
15,{GI_13376477.S} => {GI_12232430.S},0.079787234,0.833333333,8.703703704,8
16,{GI_12232430.S} => {GI_13376477.S},0.079787234,0.833333333,8.703703704,8
17,{GI_13787194.S} => {GI_13376182.S},0.079787234,0.833333333,8.703703704,9
18,{GI_13376182.S} => {GI_13787194.S},0.079787234,0.833333333,8.703703704,9
19,{GI_14249309.S} => {GI_13787194.S},0.079787234,0.833333333,8.703703704,10
20,{GI_13787194.S} => {GI_14249309.S},0.079787234,0.833333333,8.703703704,10
21,{GI_13787194.S} => {GI_12232456.S},0.079787234,0.833333333,8.703703704,11
22,{GI_12232456.S} => {GI_13787194.S},0.079787234,0.833333333,8.703703704,11
23,{GI_14165460.I} => {GI_10800147.S},0.079787234,0.833333333,8.703703704,12
24,{GI_10800147.S} => {GI_14165460.I},0.079787234,0.833333333,8.703703704,12
25,{GI_14249309.S} => {GI_14165460.I},0.079787234,0.833333333,8.703703704,13
26,{GI_14165460.I} => {GI_14249309.S},0.079787234,0.833333333,8.703703704,13
27,{GI_13376321.S} => {GI_13112047.A},0.079787234,0.833333333,8.703703704,14
28,{GI_13112047.A} => {GI_13376321.S},0.079787234,0.833333333,8.703703704,14
29,{GI_11641260.S} => {GI_10864030.S},0.079787234,0.833333333,8.703703704,15
30,{GI_10864030.S} => {GI_11641260.S},0.079787234,0.833333333,8.703703704,15
31,{GI_13128859.S} => {GI_11545766.S},0.079787234,0.833333333,8.703703704,16
32,{GI_11545766.S} => {GI_13128859.S},0.079787234,0.833333333,8.703703704,16
33,{GI_14249467.I} => {GI_13376746.S},0.079787234,0.833333333,8.703703704,17
34,{GI_13376746.S} => {GI_14249467.I},0.079787234,0.833333333,8.703703704,17
35,{GI_13376746.S} => {GI_10864030.S},0.079787234,0.833333333,8.703703704,18
36,{GI_10864030.S} => {GI_13376746.S},0.079787234,0.833333333,8.703703704,18
37,{GI_13376659.S} => {GI_10864030.S},0.079787234,0.833333333,8.703703704,19
38,{GI_10864030.S} => {GI_13376659.S},0.079787234,0.833333333,8.703703704,19
39,{GI_14916472.S} => {GI_14249467.I},0.079787234,0.833333333,8.703703704,20
40,{GI_14249467.I} => {GI_14916472.S},0.079787234,0.833333333,8.703703704,20
41,{GI_14249467.I} => {GI_10864030.S},0.079787234,0.833333333,8.703703704,21
42,{GI_10864030.S} => {GI_14249467.I},0.079787234,0.833333333,8.703703704,21
63,"{GI_12232456.S,GI_14042952.S} => {GI_12232430.S}",0.074468085,0.933333333,9.748148148,32
64,"{GI_12232430.S,GI_14042952.S} => {GI_12232456.S}",0.074468085,1,10.44444444,32
65,"{GI_12232430.S,GI_12232456.S} => {GI_14042952.S}",0.074468085,0.875,9.138888889,32
70,"{GI_12232430.S,GI_13376477.S} => {GI_11056009.S}",0.074468085,0.933333333,9.748148148,35
71,"{GI_11056009.S,GI_13376477.S} => {GI_12232430.S}",0.074468085,0.823529412,8.60130719,35
72,"{GI_11056009.S,GI_12232430.S} => {GI_13376477.S}",0.074468085,1,10.44444444,35
77,"{GI_13787194.S,GI_14249309.S} => {GI_13376182.S}",0.074468085,0.933333333,9.748148148,38
78,"{GI_13376182.S,GI_14249309.S} => {GI_13787194.S}",0.074468085,1,10.44444444,38
79,"{GI_13376182.S,GI_13787194.S} => {GI_14249309.S}",0.074468085,0.933333333,9.748148148,38
100,"{GI_14165460.I,GI_14249309.S} => {GI_10800147.S}",0.074468085,0.933333333,9.748148148,49
101,"{GI_10800147.S,GI_14249309.S} => {GI_14165460.I}",0.074468085,1,10.44444444,49
102,"{GI_10800147.S,GI_14165460.I} => {GI_14249309.S}",0.074468085,0.933333333,9.748148148,49
