rules,support,confidence,lift,itemset,
1,{GI_13376532.S} => {GI_12232430.S},0.085227273,0.882352941,9.134948097,1
2,{GI_12232430.S} => {GI_13376532.S},0.085227273,0.882352941,9.134948097,1
3,{GI_14165460.I} => {GI_13787194.S},0.085227273,0.882352941,9.134948097,2
4,{GI_13787194.S} => {GI_14165460.I},0.085227273,0.882352941,9.134948097,2
5,{GI_14916472.S} => {GI_10864030.S},0.085227273,0.882352941,9.134948097,3
6,{GI_10864030.S} => {GI_14916472.S},0.085227273,0.882352941,9.134948097,3
7,{GI_14249467.I} => {GI_10864030.S},0.085227273,0.882352941,9.134948097,4
8,{GI_10864030.S} => {GI_14249467.I},0.085227273,0.882352941,9.134948097,4
9,{GI_14195633.S} => {GI_11545919.S},0.079545455,0.823529412,8.525951557,5
10,{GI_11545919.S} => {GI_14195633.S},0.079545455,0.823529412,8.525951557,5
11,{GI_14456711.S} => {GI_14043068.S},0.079545455,0.823529412,8.525951557,6
12,{GI_14043068.S} => {GI_14456711.S},0.079545455,0.823529412,8.525951557,6
13,{GI_14150038.S} => {GI_13375741.S},0.079545455,0.823529412,8.525951557,7
14,{GI_13375741.S} => {GI_14150038.S},0.079545455,0.823529412,8.525951557,7
15,{GI_14589955.S} => {GI_14211842.S},0.079545455,0.823529412,8.525951557,8
16,{GI_14211842.S} => {GI_14589955.S},0.079545455,0.823529412,8.525951557,8
17,{GI_14589955.S} => {GI_11321582.S},0.079545455,0.823529412,8.525951557,9
18,{GI_11321582.S} => {GI_14589955.S},0.079545455,0.823529412,8.525951557,9
19,"{GI_13376532.S,GI_14042952.S} => {GI_12232430.S}",0.079545455,1,10.35294118,10
20,"{GI_12232430.S,GI_14042952.S} => {GI_13376532.S}",0.079545455,1,10.35294118,10
21,"{GI_12232430.S,GI_13376532.S} => {GI_14042952.S}",0.079545455,0.933333333,9.662745098,10
22,{GI_14042952.S} => {GI_13376532.S},0.079545455,0.823529412,8.525951557,11
23,{GI_13376532.S} => {GI_14042952.S},0.079545455,0.823529412,8.525951557,11
24,{GI_14042952.S} => {GI_12232430.S},0.079545455,0.823529412,8.525951557,12
25,{GI_12232430.S} => {GI_14042952.S},0.079545455,0.823529412,8.525951557,12
26,{GI_14591915.S} => {GI_14591913.S},0.079545455,0.823529412,8.525951557,13
27,{GI_14591913.S} => {GI_14591915.S},0.079545455,0.823529412,8.525951557,13
28,{GI_13376553.S} => {GI_12232456.S},0.079545455,0.823529412,8.525951557,14
29,{GI_12232456.S} => {GI_13376553.S},0.079545455,0.823529412,8.525951557,14
30,{GI_12597630.S} => {GI_12232456.S},0.079545455,0.823529412,8.525951557,15
31,{GI_12232456.S} => {GI_12597630.S},0.079545455,0.823529412,8.525951557,15
32,{GI_12232456.S} => {GI_11056009.S},0.079545455,0.823529412,8.525951557,16
33,{GI_11056009.S} => {GI_12232456.S},0.079545455,0.823529412,8.525951557,16
34,{GI_13376477.S} => {GI_11056009.S},0.079545455,0.823529412,8.525951557,17
35,{GI_11056009.S} => {GI_13376477.S},0.079545455,0.823529412,8.525951557,17
36,{GI_13787194.S} => {GI_13376532.S},0.079545455,0.823529412,8.525951557,18
37,{GI_13376532.S} => {GI_13787194.S},0.079545455,0.823529412,8.525951557,18
38,{GI_13540508.S} => {GI_13376532.S},0.079545455,0.823529412,8.525951557,19
39,{GI_13376532.S} => {GI_13540508.S},0.079545455,0.823529412,8.525951557,19
40,{GI_13787194.S} => {GI_13540508.S},0.079545455,0.823529412,8.525951557,20
41,{GI_13540508.S} => {GI_13787194.S},0.079545455,0.823529412,8.525951557,20
42,"{GI_13787194.S,GI_14165460.I} => {GI_10800147.S}",0.079545455,0.933333333,9.662745098,21
43,"{GI_10800147.S,GI_14165460.I} => {GI_13787194.S}",0.079545455,1,10.35294118,21
44,"{GI_10800147.S,GI_13787194.S} => {GI_14165460.I}",0.079545455,1,10.35294118,21
45,{GI_14165460.I} => {GI_10800147.S},0.079545455,0.823529412,8.525951557,22
46,{GI_10800147.S} => {GI_14165460.I},0.079545455,0.823529412,8.525951557,22
47,{GI_14165460.I} => {GI_13430873.S},0.079545455,0.823529412,8.525951557,23
48,{GI_13430873.S} => {GI_14165460.I},0.079545455,0.823529412,8.525951557,23
49,{GI_14165460.I} => {GI_12545396.I},0.079545455,0.823529412,8.525951557,24
50,{GI_12545396.I} => {GI_14165460.I},0.079545455,0.823529412,8.525951557,24
51,{GI_14249309.S} => {GI_14165460.I},0.079545455,0.823529412,8.525951557,25
52,{GI_14165460.I} => {GI_14249309.S},0.079545455,0.823529412,8.525951557,25
53,{GI_13787194.S} => {GI_13376746.S},0.079545455,0.823529412,8.525951557,26
54,{GI_13376746.S} => {GI_13787194.S},0.079545455,0.823529412,8.525951557,26
55,{GI_13787194.S} => {GI_10800147.S},0.079545455,0.823529412,8.525951557,27
56,{GI_10800147.S} => {GI_13787194.S},0.079545455,0.823529412,8.525951557,27
57,{GI_14249309.S} => {GI_13376746.S},0.079545455,0.823529412,8.525951557,28
58,{GI_13376746.S} => {GI_14249309.S},0.079545455,0.823529412,8.525951557,28
59,{GI_14249309.S} => {GI_14249251.S},0.079545455,0.823529412,8.525951557,29
60,{GI_14249251.S} => {GI_14249309.S},0.079545455,0.823529412,8.525951557,29
61,{GI_14249309.S} => {GI_10800147.S},0.079545455,0.823529412,8.525951557,30
